unit	sha	identity	file	path	lens	hypothesis	evidence	result	type
A6-065	265504f6	r32:ArmConsumptionFence:failure	r32	ArmConsumptionFence	sync-ownership	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-066	265504f6	r32:MetadataValid:failure	r32	MetadataValid	metadata-gate	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-067	265504f6	r32:CanFastSubmit:failure	r32	CanFastSubmit	fallback-gate	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-068	265504f6	r32:CapturePerfSnapshot:failure	r32	CapturePerfSnapshot	telemetry-state	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-069	265504f6	r32:MaybeLogPerf:failure	r32	MaybeLogPerf	telemetry-lifetime	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-070	265504f6	r32:EndFrame:failure	r32	EndFrame	submission-sync	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-071	265504f6	r32:DestroySession:failure	r32	DestroySession	session-teardown	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-072	265504f6	main:R23UsableGameplayBootstrapFrame:failure	main	R23UsableGameplayBootstrapFrame	bootstrap-gate	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-073	265504f6	main:R23ReadFinalCounters:failure	main	R23ReadFinalCounters	fallback-observation	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-074	265504f6	main:R23ActualFinalKind:failure	main	R23ActualFinalKind	submission-observation	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-075	265504f6	main:R23MetricWindow::Add:failure	main	R23MetricWindow::Add	telemetry-state	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-076	265504f6	main:R23MetricWindow::Reset:failure	main	R23MetricWindow::Reset	telemetry-reset	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-077	265504f6	main:R23PipelineWindow::Note:failure	main	R23PipelineWindow::Note	telemetry-ownership	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-078	265504f6	main:R23ReleaseDirectHoldResources:failure	main	R23ReleaseDirectHoldResources	resource-lifetime	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-079	265504f6	main:R23InvalidateDirectHold:failure	main	R23InvalidateDirectHold	identity-invalidation	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-080	265504f6	main:R37FrameIdBefore:failure	main	R37FrameIdBefore	wraparound-order	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-081	265504f6	main:R23FrameUnchanged:failure	main	R23FrameUnchanged	frame-atomicity	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-082	265504f6	main:R23ValidateDirectResourceSize:failure	main	R23ValidateDirectResourceSize	resource-identity	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-083	265504f6	main:R23InvalidateDirect:failure	main	R23InvalidateDirect	failure-atomicity	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-084	265504f6	main:R23CommitDirectAfterValidation:failure	main	R23CommitDirectAfterValidation	commit-atomicity	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-085	265504f6	main:R23CommitClassicAfterValidation:failure	main	R23CommitClassicAfterValidation	fallback-ownership	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-086	265504f6	main:R23RenderProjection:failure	main	R23RenderProjection	projection-lifetime	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-087	265504f6	main:R35CadenceHost::~R35CadenceHost:failure	main	R35CadenceHost::~R35CadenceHost	ipc-teardown	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-088	265504f6	main:R35CadenceHost::SetRunning:failure	main	R35CadenceHost::SetRunning	state-transition	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-089	265504f6	main:R35CadenceHost::UpdateActiveRenderHz:failure	main	R35CadenceHost::UpdateActiveRenderHz	config-transition	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-090	265504f6	main:R35CadenceHost::IssueIfDue:failure	main	R35CadenceHost::IssueIfDue	request-lifecycle	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-091	265504f6	main:R35CadenceHost::WaitForPresented:failure	main	R35CadenceHost::WaitForPresented	bounded-wait	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-092	265504f6	main:R35CadenceHost::Publish:failure	main	R35CadenceHost::Publish	ipc-atomicity	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-093	265504f6	main:SESSION_STATE_STOPPING:failure	main	SESSION_STATE_STOPPING	session-lifecycle	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-094	265504f6	main:pendingReferenceSpaceChange:failure	main	pendingReferenceSpaceChange	space-transition	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-095	265504f6	main:frame-loop-locate:failure	main	frame-loop-locate	space-consistency	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-096	265504f6	main:client-PID-handoff:failure	main	client-PID-handoff	process-ownership	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-097	265504f6	main:shutdown:failure	main	shutdown	teardown-order	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-098	265504f6	main:catch-cleanup:failure	main	catch-cleanup	failure-teardown	failure	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-099	265504f6	r26:InvalidateFallbackAnchor:identity	r26	InvalidateFallbackAnchor	anchor-state	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-100	265504f6	r26:QueueApplicationRecenter:identity	r26	QueueApplicationRecenter	recenter-state	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-101	265504f6	r26:ApplicationRecenterAppliedForPendingGameRequest:identity	r26	ApplicationRecenterAppliedForPendingGameRequest	generation-gate	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-102	265504f6	r26:ApplyPendingApplicationRecenter:identity	r26	ApplyPendingApplicationRecenter	space-lifetime	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-103	265504f6	r26:EnsureFallbackAnchor:identity	r26	EnsureFallbackAnchor	fallback-lifetime	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-104	265504f6	r26:TrySubmitAnchoredStartupFallback:identity	r26	TrySubmitAnchoredStartupFallback	fallback-ownership	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-105	265504f6	r26:WriteSyntheticLocalChange:identity	r26	WriteSyntheticLocalChange	event-state	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-106	265504f6	r26:PollEvent:identity	r26	PollEvent	event-lifecycle	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-107	265504f6	r26:IncomingPath:identity	r26	IncomingPath	submission-classification	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-108	265504f6	r26:CompletePendingGameRequestAfterVisibleProjection:identity	r26	CompletePendingGameRequestAfterVisibleProjection	request-completion	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-109	265504f6	r26:EndFrame:identity	r26	EndFrame	submission-lifecycle	identity	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-110	265504f6	r32:ReleasePending:identity	r32	ReleasePending	query-lifetime	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-111	265504f6	r32:ObserveGeneration:identity	r32	ObserveGeneration	generation-state	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-112	265504f6	r32:EnsureFence:identity	r32	EnsureFence	query-creation	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-113	265504f6	r32:PollCompletedAcks:identity	r32	PollCompletedAcks	ack-lifetime	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-114	265504f6	r32:ArmConsumptionFence:identity	r32	ArmConsumptionFence	sync-ownership	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-115	265504f6	r32:MetadataValid:identity	r32	MetadataValid	metadata-gate	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-116	265504f6	r32:CanFastSubmit:identity	r32	CanFastSubmit	fallback-gate	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-117	265504f6	r32:CapturePerfSnapshot:identity	r32	CapturePerfSnapshot	telemetry-state	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-118	265504f6	r32:MaybeLogPerf:identity	r32	MaybeLogPerf	telemetry-lifetime	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-119	265504f6	r32:EndFrame:identity	r32	EndFrame	submission-sync	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-120	265504f6	r32:DestroySession:identity	r32	DestroySession	session-teardown	identity	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-121	265504f6	main:R23UsableGameplayBootstrapFrame:identity	main	R23UsableGameplayBootstrapFrame	bootstrap-gate	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-122	265504f6	main:R23ReadFinalCounters:identity	main	R23ReadFinalCounters	fallback-observation	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-123	265504f6	main:R23ActualFinalKind:identity	main	R23ActualFinalKind	submission-observation	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-124	265504f6	main:R23MetricWindow::Add:identity	main	R23MetricWindow::Add	telemetry-state	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-125	265504f6	main:R23MetricWindow::Reset:identity	main	R23MetricWindow::Reset	telemetry-reset	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-126	265504f6	main:R23PipelineWindow::Note:identity	main	R23PipelineWindow::Note	telemetry-ownership	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-127	265504f6	main:R23ReleaseDirectHoldResources:identity	main	R23ReleaseDirectHoldResources	resource-lifetime	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-128	265504f6	main:R23InvalidateDirectHold:identity	main	R23InvalidateDirectHold	identity-invalidation	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-129	265504f6	main:R37FrameIdBefore:identity	main	R37FrameIdBefore	wraparound-order	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-130	265504f6	main:R23FrameUnchanged:identity	main	R23FrameUnchanged	frame-atomicity	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-131	265504f6	main:R23ValidateDirectResourceSize:identity	main	R23ValidateDirectResourceSize	resource-identity	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-132	265504f6	main:R23InvalidateDirect:identity	main	R23InvalidateDirect	failure-atomicity	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-133	265504f6	main:R23CommitDirectAfterValidation:identity	main	R23CommitDirectAfterValidation	commit-atomicity	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-134	265504f6	main:R23CommitClassicAfterValidation:identity	main	R23CommitClassicAfterValidation	fallback-ownership	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-135	265504f6	main:R23RenderProjection:identity	main	R23RenderProjection	projection-lifetime	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-136	265504f6	main:R35CadenceHost::~R35CadenceHost:identity	main	R35CadenceHost::~R35CadenceHost	ipc-teardown	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-137	265504f6	main:R35CadenceHost::SetRunning:identity	main	R35CadenceHost::SetRunning	state-transition	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-138	265504f6	main:R35CadenceHost::UpdateActiveRenderHz:identity	main	R35CadenceHost::UpdateActiveRenderHz	config-transition	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-139	265504f6	main:R35CadenceHost::IssueIfDue:identity	main	R35CadenceHost::IssueIfDue	request-lifecycle	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-140	265504f6	main:R35CadenceHost::WaitForPresented:identity	main	R35CadenceHost::WaitForPresented	bounded-wait	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-141	265504f6	main:R35CadenceHost::Publish:identity	main	R35CadenceHost::Publish	ipc-atomicity	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-142	265504f6	main:SESSION_STATE_STOPPING:identity	main	SESSION_STATE_STOPPING	session-lifecycle	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-143	265504f6	main:pendingReferenceSpaceChange:identity	main	pendingReferenceSpaceChange	space-transition	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-144	265504f6	main:frame-loop-locate:identity	main	frame-loop-locate	space-consistency	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-145	265504f6	main:client-PID-handoff:identity	main	client-PID-handoff	process-ownership	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-146	265504f6	main:shutdown:identity	main	shutdown	teardown-order	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-147	265504f6	main:catch-cleanup:identity	main	catch-cleanup	failure-teardown	identity	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-148	265504f6	r26:InvalidateFallbackAnchor:teardown	r26	InvalidateFallbackAnchor	anchor-state	teardown	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-149	265504f6	r26:QueueApplicationRecenter:teardown	r26	QueueApplicationRecenter	recenter-state	teardown	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-150	265504f6	r26:ApplicationRecenterAppliedForPendingGameRequest:teardown	r26	ApplicationRecenterAppliedForPendingGameRequest	generation-gate	teardown	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
