unit	carried_from	target_sha	content_identity	regression_case	risk_match	trigger_status	evidence	result	type
A8-011	A6-011	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-011	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-012	A6-012	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-012	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-013	A6-013	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-013	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-014	A6-014	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-014	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-015	A6-015	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-015	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-016	A6-016	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-016	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-017	A6-017	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-017	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-018	A6-018	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-018	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-019	A6-019	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-019	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-020	A6-020	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-020	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-021	A6-021	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-021	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-022	A6-022	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-022	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-023	A6-023	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-023	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-024	A6-024	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-024	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-025	A6-025	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-025	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-026	A6-026	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-026	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-027	A6-027	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-027	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-028	A6-028	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-028	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-029	A6-029	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-029	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-030	A6-030	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-030	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-031	A6-031	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-031	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-032	A6-032	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-032	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-033	A6-033	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-033	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-034	A6-034	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-034	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-035	A6-035	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-035	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-036	A6-036	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-036	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-037	A6-037	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-037	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-038	A6-038	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-038	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-039	A6-039	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-039	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-040	A6-040	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-040	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-041	A6-041	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-041	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-042	A6-042	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-042	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-043	A6-043	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-043	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-044	A6-044	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-044	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-045	A6-045	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-045	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-046	A6-046	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-046	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-047	A6-047	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-047	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-048	A6-048	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-048	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-049	A6-049	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-049	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-050	A6-050	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-050	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-051	A6-051	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-051	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-052	A6-052	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-052	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-053	A6-053	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-053	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-054	A6-054	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-054	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-055	A6-055	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-055	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-056	A6-056	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-056	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-057	A6-057	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-057	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-058	A6-058	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-058	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-059	A6-059	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-059	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-060	A6-060	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-060	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-061	A6-061	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-061	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-062	A6-062	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-062	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-063	A6-063	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-063	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-064	A6-064	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-064	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-065	A6-065	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-065	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-066	A6-066	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-066	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-067	A6-067	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-067	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-068	A6-068	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-068	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-069	A6-069	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-069	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-070	A6-070	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-070	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-071	A6-071	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-071	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-072	A6-072	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-072	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
