unit	kind	source_unit	target	identity_validation	evidence	result
A11-052	CARRY_FORWARD	A6-052	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-052 evidence retained after regression-gate reload	PASS
A11-053	CARRY_FORWARD	A6-053	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-053 evidence retained after regression-gate reload	PASS
A11-054	CARRY_FORWARD	A6-054	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-054 evidence retained after regression-gate reload	PASS
A11-055	CARRY_FORWARD	A6-055	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-055 evidence retained after regression-gate reload	PASS
A11-056	CARRY_FORWARD	A6-056	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-056 evidence retained after regression-gate reload	PASS
A11-057	CARRY_FORWARD	A6-057	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-057 evidence retained after regression-gate reload	PASS
A11-058	CARRY_FORWARD	A6-058	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-058 evidence retained after regression-gate reload	PASS
A11-059	CARRY_FORWARD	A6-059	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-059 evidence retained after regression-gate reload	PASS
A11-060	CARRY_FORWARD	A6-060	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-060 evidence retained after regression-gate reload	PASS
A11-061	CARRY_FORWARD	A6-061	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-061 evidence retained after regression-gate reload	PASS
A11-062	CARRY_FORWARD	A6-062	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-062 evidence retained after regression-gate reload	PASS
A11-063	CARRY_FORWARD	A6-063	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-063 evidence retained after regression-gate reload	PASS
A11-064	CARRY_FORWARD	A6-064	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-064 evidence retained after regression-gate reload	PASS
A11-065	CARRY_FORWARD	A6-065	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-065 evidence retained after regression-gate reload	PASS
A11-066	CARRY_FORWARD	A6-066	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-066 evidence retained after regression-gate reload	PASS
A11-067	CARRY_FORWARD	A6-067	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-067 evidence retained after regression-gate reload	PASS
A11-068	CARRY_FORWARD	A6-068	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-068 evidence retained after regression-gate reload	PASS
A11-069	CARRY_FORWARD	A6-069	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-069 evidence retained after regression-gate reload	PASS
A11-070	CARRY_FORWARD	A6-070	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-070 evidence retained after regression-gate reload	PASS
A11-071	CARRY_FORWARD	A6-071	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-071 evidence retained after regression-gate reload	PASS
A11-072	CARRY_FORWARD	A6-072	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-072 evidence retained after regression-gate reload	PASS
A11-073	CARRY_FORWARD	A6-073	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-073 evidence retained after regression-gate reload	PASS
A11-074	CARRY_FORWARD	A6-074	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-074 evidence retained after regression-gate reload	PASS
A11-075	CARRY_FORWARD	A6-075	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-075 evidence retained after regression-gate reload	PASS
A11-076	CARRY_FORWARD	A6-076	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-076 evidence retained after regression-gate reload	PASS
A11-077	CARRY_FORWARD	A6-077	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-077 evidence retained after regression-gate reload	PASS
A11-078	CARRY_FORWARD	A6-078	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-078 evidence retained after regression-gate reload	PASS
A11-079	CARRY_FORWARD	A6-079	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-079 evidence retained after regression-gate reload	PASS
A11-080	CARRY_FORWARD	A6-080	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-080 evidence retained after regression-gate reload	PASS
A11-081	CARRY_FORWARD	A6-081	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-081 evidence retained after regression-gate reload	PASS
A11-082	CARRY_FORWARD	A6-082	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-082 evidence retained after regression-gate reload	PASS
A11-083	CARRY_FORWARD	A6-083	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-083 evidence retained after regression-gate reload	PASS
A11-084	CARRY_FORWARD	A6-084	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-084 evidence retained after regression-gate reload	PASS
A11-085	CARRY_FORWARD	A6-085	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-085 evidence retained after regression-gate reload	PASS
A11-086	CARRY_FORWARD	A6-086	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-086 evidence retained after regression-gate reload	PASS
A11-087	CARRY_FORWARD	A6-087	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-087 evidence retained after regression-gate reload	PASS
A11-088	CARRY_FORWARD	A6-088	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-088 evidence retained after regression-gate reload	PASS
A11-089	CARRY_FORWARD	A6-089	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-089 evidence retained after regression-gate reload	PASS
A11-090	CARRY_FORWARD	A6-090	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-090 evidence retained after regression-gate reload	PASS
A11-091	CARRY_FORWARD	A6-091	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-091 evidence retained after regression-gate reload	PASS
A11-092	CARRY_FORWARD	A6-092	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-092 evidence retained after regression-gate reload	PASS
A11-093	CARRY_FORWARD	A6-093	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-093 evidence retained after regression-gate reload	PASS
A11-094	CARRY_FORWARD	A6-094	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-094 evidence retained after regression-gate reload	PASS
A11-095	CARRY_FORWARD	A6-095	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-095 evidence retained after regression-gate reload	PASS
A11-096	CARRY_FORWARD	A6-096	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-096 evidence retained after regression-gate reload	PASS
A11-097	CARRY_FORWARD	A6-097	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-097 evidence retained after regression-gate reload	PASS
A11-098	CARRY_FORWARD	A6-098	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-098 evidence retained after regression-gate reload	PASS
A11-099	CARRY_FORWARD	A6-099	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-099 evidence retained after regression-gate reload	PASS
A11-100	CARRY_FORWARD	A6-100	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-100 evidence retained after regression-gate reload	PASS
A11-101	CARRY_FORWARD	A6-101	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-101 evidence retained after regression-gate reload	PASS
A11-102	CARRY_FORWARD	A6-102	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-102 evidence retained after regression-gate reload	PASS
A11-103	CARRY_FORWARD	A6-103	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-103 evidence retained after regression-gate reload	PASS
A11-104	CARRY_FORWARD	A6-104	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-104 evidence retained after regression-gate reload	PASS
A11-105	CARRY_FORWARD	A6-105	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-105 evidence retained after regression-gate reload	PASS
A11-106	CARRY_FORWARD	A6-106	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-106 evidence retained after regression-gate reload	PASS
A11-107	CARRY_FORWARD	A6-107	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-107 evidence retained after regression-gate reload	PASS
A11-108	CARRY_FORWARD	A6-108	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-108 evidence retained after regression-gate reload	PASS
A11-109	CARRY_FORWARD	A6-109	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-109 evidence retained after regression-gate reload	PASS
A11-110	CARRY_FORWARD	A6-110	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-110 evidence retained after regression-gate reload	PASS
A11-111	CARRY_FORWARD	A6-111	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-111 evidence retained after regression-gate reload	PASS
A11-112	CARRY_FORWARD	A6-112	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-112 evidence retained after regression-gate reload	PASS
A11-113	CARRY_FORWARD	A6-113	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-113 evidence retained after regression-gate reload	PASS
A11-114	CARRY_FORWARD	A6-114	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-114 evidence retained after regression-gate reload	PASS
A11-115	CARRY_FORWARD	A6-115	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-115 evidence retained after regression-gate reload	PASS
A11-116	CARRY_FORWARD	A6-116	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-116 evidence retained after regression-gate reload	PASS
A11-117	CARRY_FORWARD	A6-117	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-117 evidence retained after regression-gate reload	PASS
A11-118	CARRY_FORWARD	A6-118	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-118 evidence retained after regression-gate reload	PASS
A11-119	CARRY_FORWARD	A6-119	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-119 evidence retained after regression-gate reload	PASS
A11-120	CARRY_FORWARD	A6-120	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-120 evidence retained after regression-gate reload	PASS
A11-121	CARRY_FORWARD	A6-121	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-121 evidence retained after regression-gate reload	PASS
A11-122	CARRY_FORWARD	A6-122	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-122 evidence retained after regression-gate reload	PASS
A11-123	CARRY_FORWARD	A6-123	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-123 evidence retained after regression-gate reload	PASS
A11-124	CARRY_FORWARD	A6-124	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-124 evidence retained after regression-gate reload	PASS
A11-125	CARRY_FORWARD	A6-125	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-125 evidence retained after regression-gate reload	PASS
A11-126	CARRY_FORWARD	A6-126	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-126 evidence retained after regression-gate reload	PASS
A11-127	CARRY_FORWARD	A6-127	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-127 evidence retained after regression-gate reload	PASS
A11-128	CARRY_FORWARD	A6-128	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-128 evidence retained after regression-gate reload	PASS
A11-129	CARRY_FORWARD	A6-129	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-129 evidence retained after regression-gate reload	PASS
A11-130	CARRY_FORWARD	A6-130	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-130 evidence retained after regression-gate reload	PASS
A11-131	CARRY_FORWARD	A6-131	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-131 evidence retained after regression-gate reload	PASS
A11-132	CARRY_FORWARD	A6-132	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-132 evidence retained after regression-gate reload	PASS
A11-133	CARRY_FORWARD	A6-133	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-133 evidence retained after regression-gate reload	PASS
A11-134	CARRY_FORWARD	A6-134	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-134 evidence retained after regression-gate reload	PASS
A11-135	CARRY_FORWARD	A6-135	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-135 evidence retained after regression-gate reload	PASS
A11-136	CARRY_FORWARD	A6-136	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-136 evidence retained after regression-gate reload	PASS
A11-137	CARRY_FORWARD	A6-137	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-137 evidence retained after regression-gate reload	PASS
A11-138	CARRY_FORWARD	A6-138	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-138 evidence retained after regression-gate reload	PASS
A11-139	CARRY_FORWARD	A6-139	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-139 evidence retained after regression-gate reload	PASS
A11-140	CARRY_FORWARD	A6-140	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-140 evidence retained after regression-gate reload	PASS
A11-141	CARRY_FORWARD	A6-141	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-141 evidence retained after regression-gate reload	PASS
A11-142	CARRY_FORWARD	A6-142	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-142 evidence retained after regression-gate reload	PASS
A11-143	CARRY_FORWARD	A6-143	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-143 evidence retained after regression-gate reload	PASS
A11-144	CARRY_FORWARD	A6-144	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-144 evidence retained after regression-gate reload	PASS
A11-145	CARRY_FORWARD	A6-145	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-145 evidence retained after regression-gate reload	PASS
A11-146	CARRY_FORWARD	A6-146	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-146 evidence retained after regression-gate reload	PASS
A11-147	CARRY_FORWARD	A6-147	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-147 evidence retained after regression-gate reload	PASS
A11-148	CARRY_FORWARD	A6-148	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-148 evidence retained after regression-gate reload	PASS
A11-149	CARRY_FORWARD	A6-149	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-149 evidence retained after regression-gate reload	PASS
A11-150	CARRY_FORWARD	A6-150	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-150 evidence retained after regression-gate reload	PASS
