unit	fresh	path	lens	evidence
B20-093	1	main_r23::WaitSwapchainImage	timing	inspect wait/freshness/frame-pacing cost boundary
B20-094	1	main_r23::ReleaseSwapchainImage	timing	inspect wait/freshness/frame-pacing cost boundary
B20-095	1	main_r23::xrWaitFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-096	1	main_r23::xrBeginFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-097	1	main_r23::xrEndFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-098	1	main_r23::LocateViews	timing	inspect wait/freshness/frame-pacing cost boundary
B20-099	1	R23::EndFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-100	1	R23::RenderCommittedDirect	timing	inspect wait/freshness/frame-pacing cost boundary
B20-101	1	R23::IncomingPoseMatchesCommittedFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-102	1	R23::DirectSafeEyeMatchesCommittedFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-103	1	R23::SubmitNoLayer	timing	inspect wait/freshness/frame-pacing cost boundary
B20-104	1	R23::SubmitNonProjectionOnly	timing	inspect wait/freshness/frame-pacing cost boundary
B20-105	1	R23::DestroySession	timing	inspect wait/freshness/frame-pacing cost boundary
B20-106	1	R23Bundle::ReadFresh	timing	inspect wait/freshness/frame-pacing cost boundary
B20-107	1	R23Bundle::Commit	timing	inspect wait/freshness/frame-pacing cost boundary
B20-108	1	R23Bundle::Invalidate	timing	inspect wait/freshness/frame-pacing cost boundary
B20-109	1	Sbs::FrameComplete	timing	inspect wait/freshness/frame-pacing cost boundary
B20-110	1	Sbs::EndFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-111	1	Sbs::LastProductionPresentQpc	timing	inspect wait/freshness/frame-pacing cost boundary
B20-112	1	Review::IncomingProjectionValid	timing	inspect wait/freshness/frame-pacing cost boundary
B20-113	1	Review::FreshClassicFallbackAvailable	timing	inspect wait/freshness/frame-pacing cost boundary
B20-114	1	Review::HasIncomingNonProjectionLayer	timing	inspect wait/freshness/frame-pacing cost boundary
B20-115	1	R21::HostShouldRenderReadonly	timing	inspect wait/freshness/frame-pacing cost boundary
B20-116	1	R21::DirectTransportRequested	timing	inspect wait/freshness/frame-pacing cost boundary
B20-117	1	R21::ReadDirectHostStateReadonly	timing	inspect wait/freshness/frame-pacing cost boundary
B20-118	1	R21::BindLegacyBlitConstantBufferToVs	timing	inspect wait/freshness/frame-pacing cost boundary
B20-119	1	R22::DirectOpenMatchesLatest	timing	inspect wait/freshness/frame-pacing cost boundary
B20-120	1	Direct::EnsureSafeFrame	timing	inspect wait/freshness/frame-pacing cost boundary
B20-121	1	main_r23::CreateSwapchain	fallback	verify fallback preserves identity and projection authority
B20-122	1	main_r23::AcquireSwapchainImage	fallback	verify fallback preserves identity and projection authority
B20-123	1	main_r23::WaitSwapchainImage	fallback	verify fallback preserves identity and projection authority
B20-124	1	main_r23::ReleaseSwapchainImage	fallback	verify fallback preserves identity and projection authority
B20-125	1	main_r23::xrWaitFrame	fallback	verify fallback preserves identity and projection authority
B20-126	1	main_r23::xrBeginFrame	fallback	verify fallback preserves identity and projection authority
B20-127	1	main_r23::xrEndFrame	fallback	verify fallback preserves identity and projection authority
B20-128	1	main_r23::LocateViews	fallback	verify fallback preserves identity and projection authority
B20-129	1	R23::EndFrame	fallback	verify fallback preserves identity and projection authority
B20-130	1	R23::RenderCommittedDirect	fallback	verify fallback preserves identity and projection authority
B20-131	1	R23::IncomingPoseMatchesCommittedFrame	fallback	verify fallback preserves identity and projection authority
B20-132	1	R23::DirectSafeEyeMatchesCommittedFrame	fallback	verify fallback preserves identity and projection authority
B20-133	1	R23::SubmitNoLayer	fallback	verify fallback preserves identity and projection authority
B20-134	1	R23::SubmitNonProjectionOnly	fallback	verify fallback preserves identity and projection authority
B20-135	1	R23::DestroySession	fallback	verify fallback preserves identity and projection authority
B20-136	1	R23Bundle::ReadFresh	fallback	verify fallback preserves identity and projection authority
B20-137	1	R23Bundle::Commit	fallback	verify fallback preserves identity and projection authority
B20-138	1	R23Bundle::Invalidate	fallback	verify fallback preserves identity and projection authority
B20-139	1	Sbs::FrameComplete	fallback	verify fallback preserves identity and projection authority
B20-140	1	Sbs::EndFrame	fallback	verify fallback preserves identity and projection authority
B20-141	1	Sbs::LastProductionPresentQpc	fallback	verify fallback preserves identity and projection authority
B20-142	1	Review::IncomingProjectionValid	fallback	verify fallback preserves identity and projection authority
B20-143	1	Review::FreshClassicFallbackAvailable	fallback	verify fallback preserves identity and projection authority
B20-144	1	Review::HasIncomingNonProjectionLayer	fallback	verify fallback preserves identity and projection authority
B20-145	1	R21::HostShouldRenderReadonly	fallback	verify fallback preserves identity and projection authority
B20-146	1	R21::DirectTransportRequested	fallback	verify fallback preserves identity and projection authority
B20-147	1	R21::ReadDirectHostStateReadonly	fallback	verify fallback preserves identity and projection authority
B20-148	1	R21::BindLegacyBlitConstantBufferToVs	fallback	verify fallback preserves identity and projection authority
B20-149	1	R22::DirectOpenMatchesLatest	fallback	verify fallback preserves identity and projection authority
B20-150	1	Direct::EnsureSafeFrame	fallback	verify fallback preserves identity and projection authority
