unit	fresh	path	objective	category	cross	falsification	outside_delta	evidence	verdict	regression_key
B16-022	1	src/vr/settings.cpp	VRFrameCadenceTargetHz auto::invariant	performance	0	0	1	Inspect VRFrameCadenceTargetHz auto: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-023	1	src/vr/settings.cpp	VRFrameCadenceTargetHz auto::cross-trace	performance	1	0	1	Trace VRFrameCadenceTargetHz auto upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-024	1	src/vr/settings.cpp	VRFrameCadenceTargetHz auto::falsification	performance	0	1	1	Adversarially falsify VRFrameCadenceTargetHz auto: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-025	1	src/vr/settings.cpp	VRFrameCadenceMaxHz cap::invariant	performance	0	0	1	Inspect VRFrameCadenceMaxHz cap: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-026	1	src/vr/settings.cpp	VRFrameCadenceMaxHz cap::cross-trace	performance	1	0	1	Trace VRFrameCadenceMaxHz cap upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-027	1	src/vr/settings.cpp	VRFrameCadenceMaxHz cap::falsification	performance	0	1	1	Adversarially falsify VRFrameCadenceMaxHz cap: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-028	1	src/vr/settings.cpp	VRFrameCadenceTimeoutMs fail-open::invariant	performance	0	0	1	Inspect VRFrameCadenceTimeoutMs fail-open: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-029	1	src/vr/settings.cpp	VRFrameCadenceTimeoutMs fail-open::cross-trace	performance	1	0	1	Trace VRFrameCadenceTimeoutMs fail-open upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-030	1	src/vr/settings.cpp	VRFrameCadenceTimeoutMs fail-open::falsification	performance	0	1	1	Adversarially falsify VRFrameCadenceTimeoutMs fail-open: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-031	1	src/vr/settings.cpp	VRDirectGpuOnly source policy::invariant	performance	0	0	1	Inspect VRDirectGpuOnly source policy: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-032	1	src/vr/settings.cpp	VRDirectGpuOnly source policy::cross-trace	performance	1	0	1	Trace VRDirectGpuOnly source policy upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-033	1	src/vr/settings.cpp	VRDirectGpuOnly source policy::falsification	performance	0	1	1	Adversarially falsify VRDirectGpuOnly source policy: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-034	1	src/vr/settings.cpp	VRDisableDesktopDuplication isolation::invariant	visual	0	0	1	Inspect VRDisableDesktopDuplication isolation: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-035	1	src/vr/settings.cpp	VRDisableDesktopDuplication isolation::cross-trace	visual	1	0	1	Trace VRDisableDesktopDuplication isolation upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-036	1	src/vr/settings.cpp	VRDisableDesktopDuplication isolation::falsification	visual	0	1	1	Adversarially falsify VRDisableDesktopDuplication isolation: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-037	1	src/vr/settings.cpp	VRMirrorFitDesktop mirror sizing::invariant	visual	0	0	1	Inspect VRMirrorFitDesktop mirror sizing: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-038	1	src/vr/settings.cpp	VRMirrorFitDesktop mirror sizing::cross-trace	visual	1	0	1	Trace VRMirrorFitDesktop mirror sizing upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-039	1	src/vr/settings.cpp	VRMirrorFitDesktop mirror sizing::falsification	visual	0	1	1	Adversarially falsify VRMirrorFitDesktop mirror sizing: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-040	1	src/vr/settings.cpp	VRDisableDesktopVsync pacing::invariant	performance	0	0	1	Inspect VRDisableDesktopVsync pacing: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-041	1	src/vr/settings.cpp	VRDisableDesktopVsync pacing::cross-trace	performance	1	0	1	Trace VRDisableDesktopVsync pacing upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-042	1	src/vr/settings.cpp	VRDisableDesktopVsync pacing::falsification	performance	0	1	1	Adversarially falsify VRDisableDesktopVsync pacing: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-043	1	src/vr/settings.cpp	VRHudScale projection HUD::invariant	visual	0	0	1	Inspect VRHudScale projection HUD: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-044	1	src/vr/settings.cpp	VRHudScale projection HUD::cross-trace	visual	1	0	1	Trace VRHudScale projection HUD upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-045	1	src/vr/settings.cpp	VRHudScale projection HUD::falsification	visual	0	1	1	Adversarially falsify VRHudScale projection HUD: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-046	1	src/vr/settings.cpp	VRStereo true stereo toggle::invariant	visual	0	0	1	Inspect VRStereo true stereo toggle: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	VR-STARTUP-WHITE-001
B16-047	1	src/vr/settings.cpp	VRStereo true stereo toggle::cross-trace	visual	1	0	1	Trace VRStereo true stereo toggle upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	VR-STARTUP-WHITE-001
B16-048	1	src/vr/settings.cpp	VRStereo true stereo toggle::falsification	visual	0	1	1	Adversarially falsify VRStereo true stereo toggle: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	VR-STARTUP-WHITE-001
B16-049	1	src/vr/settings.cpp	VRCullingCameraSync render camera::invariant	visual	0	0	1	Inspect VRCullingCameraSync render camera: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-050	1	src/vr/settings.cpp	VRCullingCameraSync render camera::cross-trace	visual	1	0	1	Trace VRCullingCameraSync render camera upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-051	1	src/vr/settings.cpp	VRCullingCameraSync render camera::falsification	visual	0	1	1	Adversarially falsify VRCullingCameraSync render camera: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-052	1	src/vr/settings.cpp	VRCullingUnionFov union culling::invariant	visual	0	0	1	Inspect VRCullingUnionFov union culling: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-053	1	src/vr/settings.cpp	VRCullingUnionFov union culling::cross-trace	visual	1	0	1	Trace VRCullingUnionFov union culling upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-054	1	src/vr/settings.cpp	VRCullingUnionFov union culling::falsification	visual	0	1	1	Adversarially falsify VRCullingUnionFov union culling: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-055	1	src/vr/settings.cpp	VRNormalizeReflectionRate 60Hz budget::invariant	performance	0	0	1	Inspect VRNormalizeReflectionRate 60Hz budget: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-056	1	src/vr/settings.cpp	VRNormalizeReflectionRate 60Hz budget::cross-trace	performance	1	0	1	Trace VRNormalizeReflectionRate 60Hz budget upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-057	1	src/vr/settings.cpp	VRNormalizeReflectionRate 60Hz budget::falsification	performance	0	1	1	Adversarially falsify VRNormalizeReflectionRate 60Hz budget: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-058	1	src/vr/settings.cpp	VRNearPlane positional camera::invariant	visual	0	0	1	Inspect VRNearPlane positional camera: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-059	1	src/vr/settings.cpp	VRNearPlane positional camera::cross-trace	visual	1	0	1	Trace VRNearPlane positional camera upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-060	1	src/vr/settings.cpp	VRNearPlane positional camera::falsification	visual	0	1	1	Adversarially falsify VRNearPlane positional camera: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-061	1	vrhost/src/main_r23.cpp	R23UsableGameplayBootstrapFrame::invariant	cross	0	0	1	Inspect R23UsableGameplayBootstrapFrame: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-062	1	vrhost/src/main_r23.cpp	R23UsableGameplayBootstrapFrame::cross-trace	cross	1	0	1	Trace R23UsableGameplayBootstrapFrame upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-063	1	vrhost/src/main_r23.cpp	R23UsableGameplayBootstrapFrame::falsification	cross	0	1	1	Adversarially falsify R23UsableGameplayBootstrapFrame: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-064	1	vrhost/src/main_r23.cpp	R23DirectHold staging copy::invariant	performance	0	0	1	Inspect R23DirectHold staging copy: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-065	1	vrhost/src/main_r23.cpp	R23DirectHold staging copy::cross-trace	performance	1	0	1	Trace R23DirectHold staging copy upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-066	1	vrhost/src/main_r23.cpp	R23DirectHold staging copy::falsification	performance	0	1	1	Adversarially falsify R23DirectHold staging copy: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-067	1	vrhost/src/main_r23.cpp	R23MetricWindow P95 diagnostics::invariant	performance	0	0	1	Inspect R23MetricWindow P95 diagnostics: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-068	1	vrhost/src/main_r23.cpp	R23MetricWindow P95 diagnostics::cross-trace	performance	1	0	1	Trace R23MetricWindow P95 diagnostics upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-069	1	vrhost/src/main_r23.cpp	R23MetricWindow P95 diagnostics::falsification	performance	0	1	1	Adversarially falsify R23MetricWindow P95 diagnostics: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-070	1	vrhost/src/main_r23.cpp	R23PipelineWindow counters::invariant	performance	0	0	1	Inspect R23PipelineWindow counters: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-071	1	vrhost/src/main_r23.cpp	R23PipelineWindow counters::cross-trace	performance	1	0	1	Trace R23PipelineWindow counters upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-072	1	vrhost/src/main_r23.cpp	R23PipelineWindow counters::falsification	performance	0	1	1	Adversarially falsify R23PipelineWindow counters: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-073	1	vrhost/src/main_r23.cpp	R23AsyncPixelProbe DO_NOT_WAIT map::invariant	performance	0	0	1	Inspect R23AsyncPixelProbe DO_NOT_WAIT map: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-074	1	vrhost/src/main_r23.cpp	R23AsyncPixelProbe DO_NOT_WAIT map::cross-trace	performance	1	0	1	Trace R23AsyncPixelProbe DO_NOT_WAIT map upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-075	1	vrhost/src/main_r23.cpp	R23AsyncPixelProbe DO_NOT_WAIT map::falsification	performance	0	1	1	Adversarially falsify R23AsyncPixelProbe DO_NOT_WAIT map: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-076	1	vrhost/src/main_r23.cpp	ScheduleSource distributed probe copies::invariant	performance	0	0	1	Inspect ScheduleSource distributed probe copies: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-077	1	vrhost/src/main_r23.cpp	ScheduleSource distributed probe copies::cross-trace	performance	1	0	1	Trace ScheduleSource distributed probe copies upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-078	1	vrhost/src/main_r23.cpp	ScheduleSource distributed probe copies::falsification	performance	0	1	1	Adversarially falsify ScheduleSource distributed probe copies: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-079	1	vrhost/src/main_r23.cpp	ScheduleProjection two-eye probe copies::invariant	performance	0	0	1	Inspect ScheduleProjection two-eye probe copies: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-080	1	vrhost/src/main_r23.cpp	ScheduleProjection two-eye probe copies::cross-trace	performance	1	0	1	Trace ScheduleProjection two-eye probe copies upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-081	1	vrhost/src/main_r23.cpp	ScheduleProjection two-eye probe copies::falsification	performance	0	1	1	Adversarially falsify ScheduleProjection two-eye probe copies: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-082	1	vrhost/src/main_r23.cpp	ScheduleTheater probe copy::invariant	performance	0	0	1	Inspect ScheduleTheater probe copy: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-083	1	vrhost/src/main_r23.cpp	ScheduleTheater probe copy::cross-trace	performance	1	0	1	Trace ScheduleTheater probe copy upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-084	1	vrhost/src/main_r23.cpp	ScheduleTheater probe copy::falsification	performance	0	1	1	Adversarially falsify ScheduleTheater probe copy: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-085	1	vrhost/src/main_r23.cpp	R23Capture desktop fallback::invariant	performance	0	0	1	Inspect R23Capture desktop fallback: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-086	1	vrhost/src/main_r23.cpp	R23Capture desktop fallback::cross-trace	performance	1	0	1	Trace R23Capture desktop fallback upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-087	1	vrhost/src/main_r23.cpp	R23Capture desktop fallback::falsification	performance	0	1	1	Adversarially falsify R23Capture desktop fallback: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-088	1	vrhost/src/main_r23.cpp	R23RenderWorldLockedMenuProjection::invariant	visual	0	0	1	Inspect R23RenderWorldLockedMenuProjection: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-089	1	vrhost/src/main_r23.cpp	R23RenderWorldLockedMenuProjection::cross-trace	visual	1	0	1	Trace R23RenderWorldLockedMenuProjection upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-090	1	vrhost/src/main_r23.cpp	R23RenderWorldLockedMenuProjection::falsification	visual	0	1	1	Adversarially falsify R23RenderWorldLockedMenuProjection: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-091	1	vrhost/src/main_r23.cpp	R23RenderTheater SBS crop::invariant	visual	0	0	1	Inspect R23RenderTheater SBS crop: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-092	1	vrhost/src/main_r23.cpp	R23RenderTheater SBS crop::cross-trace	visual	1	0	1	Trace R23RenderTheater SBS crop upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-093	1	vrhost/src/main_r23.cpp	R23RenderTheater SBS crop::falsification	visual	0	1	1	Adversarially falsify R23RenderTheater SBS crop: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-094	1	vrhost/src/main_r23.cpp	R23CopyMatchedViews pose/fov::invariant	visual	0	0	1	Inspect R23CopyMatchedViews pose/fov: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-095	1	vrhost/src/main_r23.cpp	R23CopyMatchedViews pose/fov::cross-trace	visual	1	0	1	Trace R23CopyMatchedViews pose/fov upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-096	1	vrhost/src/main_r23.cpp	R23CopyMatchedViews pose/fov::falsification	visual	0	1	1	Adversarially falsify R23CopyMatchedViews pose/fov: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-097	1	vrhost/src/main_r23.cpp	R35CadenceHost QuantizeRuntimeHz::invariant	performance	0	0	1	Inspect R35CadenceHost QuantizeRuntimeHz: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-098	1	vrhost/src/main_r23.cpp	R35CadenceHost QuantizeRuntimeHz::cross-trace	performance	1	0	1	Trace R35CadenceHost QuantizeRuntimeHz upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-099	1	vrhost/src/main_r23.cpp	R35CadenceHost QuantizeRuntimeHz::falsification	performance	0	1	1	Adversarially falsify R35CadenceHost QuantizeRuntimeHz: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-100	1	vrhost/src/main_r23.cpp	R35CadenceHost UpdateActiveRenderHz::invariant	performance	0	0	1	Inspect R35CadenceHost UpdateActiveRenderHz: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-101	1	vrhost/src/main_r23.cpp	R35CadenceHost UpdateActiveRenderHz::cross-trace	performance	1	0	1	Trace R35CadenceHost UpdateActiveRenderHz upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-102	1	vrhost/src/main_r23.cpp	R35CadenceHost UpdateActiveRenderHz::falsification	performance	0	1	1	Adversarially falsify R35CadenceHost UpdateActiveRenderHz: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-103	1	vrhost/src/main_r23.cpp	R35CadenceHost IssueIfDue::invariant	performance	0	0	1	Inspect R35CadenceHost IssueIfDue: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-104	1	vrhost/src/main_r23.cpp	R35CadenceHost IssueIfDue::cross-trace	performance	1	0	1	Trace R35CadenceHost IssueIfDue upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-105	1	vrhost/src/main_r23.cpp	R35CadenceHost IssueIfDue::falsification	performance	0	1	1	Adversarially falsify R35CadenceHost IssueIfDue: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-106	1	vrhost/src/main_r23.cpp	R35 cadence WaitForPresented::invariant	performance	0	0	1	Inspect R35 cadence WaitForPresented: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-107	1	vrhost/src/main_r23.cpp	R35 cadence WaitForPresented::cross-trace	performance	1	0	1	Trace R35 cadence WaitForPresented upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-108	1	vrhost/src/main_r23.cpp	R35 cadence WaitForPresented::falsification	performance	0	1	1	Adversarially falsify R35 cadence WaitForPresented: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-109	1	vrhost/src/main_r23.cpp	presentation gameplay bootstrap fallback::invariant	cross	0	0	1	Inspect presentation gameplay bootstrap fallback: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-110	1	vrhost/src/main_r23.cpp	presentation gameplay bootstrap fallback::cross-trace	cross	1	0	1	Trace presentation gameplay bootstrap fallback upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-111	1	vrhost/src/main_r23.cpp	presentation gameplay bootstrap fallback::falsification	cross	0	1	1	Adversarially falsify presentation gameplay bootstrap fallback: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-112	1	vrhost/src/main_r23.cpp	presentation transition cache invalidation::invariant	cross	0	0	1	Inspect presentation transition cache invalidation: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-113	1	vrhost/src/main_r23.cpp	presentation transition cache invalidation::cross-trace	cross	1	0	1	Trace presentation transition cache invalidation upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-114	1	vrhost/src/main_r23.cpp	presentation transition cache invalidation::falsification	cross	0	1	1	Adversarially falsify presentation transition cache invalidation: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-115	1	vrhost/src/main_r23.cpp	DirectGPU latest-frame-wins selection::invariant	performance	0	0	1	Inspect DirectGPU latest-frame-wins selection: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-116	1	vrhost/src/main_r23.cpp	DirectGPU latest-frame-wins selection::cross-trace	performance	1	0	1	Trace DirectGPU latest-frame-wins selection upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-117	1	vrhost/src/main_r23.cpp	DirectGPU latest-frame-wins selection::falsification	performance	0	1	1	Adversarially falsify DirectGPU latest-frame-wins selection: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-118	1	vrhost/src/main_r23.cpp	skipped ring frame immediate ACK::invariant	performance	0	0	1	Inspect skipped ring frame immediate ACK: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-119	1	vrhost/src/main_r23.cpp	skipped ring frame immediate ACK::cross-trace	performance	1	0	1	Trace skipped ring frame immediate ACK upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-120	1	vrhost/src/main_r23.cpp	skipped ring frame immediate ACK::falsification	performance	0	1	1	Adversarially falsify skipped ring frame immediate ACK: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-121	1	vrhost/src/main_r23.cpp	classic capture frame correlation::invariant	cross	0	0	1	Inspect classic capture frame correlation: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-122	1	vrhost/src/main_r23.cpp	classic capture frame correlation::cross-trace	cross	1	0	1	Trace classic capture frame correlation upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
