unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
B3-025	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30BeginObservedLock	discard-validity	DISCARD leaves old ranges valid	write DISCARD clears valid ranges	FALSIFIED	cross-trace
B3-026	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30FinishObservedLock	unlock-failure	failed unlock preserves stale shadow	failure clears valid ranges	FALSIFIED	cross-trace
B3-027	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30CopyVertexShadow	draw-stall	draw path Locks GPU VB	uses CPU shadow only; miss fails open	FALSIFIED	falsification
B3-028	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30CopyIndexShadow	draw-stall	draw path Locks GPU IB	uses CPU shadow only; miss fails open	FALSIFIED	falsification
B3-029	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30VertexBufferUnlockDest	shadow-order	bytes copied after Lock pointer invalidation	snapshots before forwarding real Unlock	FALSIFIED	cross-trace
B3-030	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30IndexBufferUnlockDest	shadow-order	IB bytes copied after Lock pointer invalidation	snapshots before forwarding real Unlock	FALSIFIED	cross-trace
B3-031	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ScratchLease	reentrancy	nested conversion may corrupt thread-local scratch	busy lease rejects nested reuse	FALSIFIED	falsification
B3-032	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30EnsureVertexShadow	allocation timing	shadow allocates 16MiB eagerly per VB	bytes vector is resized only on successful write unlock	FALSIFIED	falsification
B3-033	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30EnsureIndexShadow	allocation timing	index shadow allocates full storage at registration	entry records size/format; byte storage remains empty until observed write	FALSIFIED	falsification
B3-034	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30FindVertexShadow	lock contention	draw lookup holds registry mutex during byte copy	registry lock ends after shared_ptr lookup; per-entry mutex protects copy	FALSIFIED	cross-trace
B3-035	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30FindIndexShadow	lock contention	IB copy serializes whole registry	registry mutex only covers map lookup	FALSIFIED	cross-trace
B3-036	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30BeginObservedLock	readonly handling	READONLY lock incorrectly marks bytes current	writeLock false for READONLY; no validity merge on finish	FALSIFIED	falsification
B3-037	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30BeginObservedLock	bounds	size=0 can overflow range	effective size is size-offset after offset bound check	FALSIFIED	falsification
B3-038	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30FinishObservedLock	exception safety	allocation failure leaves prior valid ranges usable	catch clears bytes and valid ranges	FALSIFIED	falsification
B3-039	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30VertexBufferReleaseDest	lifetime	shadow erased before real Release result known	real Release called first; erase only refs==0	FALSIFIED	falsification
B3-040	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30RollbackBufferShadowHooks	rollback	registry cleared while hooks still active	entry hooks are reset before map clear	FALSIFIED	cross-trace
B3-041	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30InstallBufferCreationHooks	coverage	only future buffers get shadows	warning notes existing/dynamic buffers register lazily on draw/Lock	FALSIFIED	cross-trace
B3-042	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ReleaseSkyGlowResources	reset cost	reset retains default-pool glow resources	releases four eye textures and shaders, zeros dimensions/factor	FALSIFIED	falsification
B3-043	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30EnsureSkyGlowResources	resource churn	textures recreated every frame	cached dimensions/factor/resources short-circuit reuse	FALSIFIED	falsification
B3-044	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30EnsureSkyGlowResources	resolution floor	high SkyGlowFactor can reduce buffers to near-zero	glow dimensions clamped to at least 160x120	FALSIFIED	falsification
B3-045	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30EnsureSkyGlowResources	factor clamp	invalid huge factor drives pathological allocation	factor clamped 1..16	FALSIFIED	falsification
B3-046	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30CompilePixelShader	runtime compile	shader recompiles each frame	compile occurs only during resource ensure after cache miss	FALSIFIED	cross-trace
B3-047	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30DrawSkyGlowPass	draw amplification	one pass secretly emits multiple primitives	single DrawPrimitiveUP triangle strip with 2 primitives	FALSIFIED	falsification
B3-048	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30DrawSkyGlowPass	sampling cost	blur uses anisotropic/mips	linear min/mag and no mip filter	FALSIFIED	falsification
B3-049	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30CaptureSkyGlowSceneBeforeHud	copy count	scene capture repeats per HUD draw	PresentEpoch guard prevents duplicate capture within epoch	FALSIFIED	falsification
B3-050	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30CaptureSkyGlowSceneBeforeHud	copy bandwidth	capture copies full-resolution eyes into same-size targets	StretchRect downsamples each eye into glow-sized reduced texture	FALSIFIED	cross-trace
B3-051	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ApplyStereoSkyGlow	eligibility	glow runs on incomplete stereo frames	requires world stereo, duplicated draw, no right failure/incomplete	FALSIFIED	falsification
B3-052	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ApplyStereoSkyGlow	state safety	failure path skips restoration	state-block + explicit RT/depth/viewport restoration executed before result	FALSIFIED	cross-trace
B3-053	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	PresentDestR30	hot-path gating	SkyGlow disabled still enters post-process	call gated by SkyGlowFactor>0 and stereo-complete conditions	FALSIFIED	falsification
B3-054	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	ResetDestR30	reset lifecycle	device reset leaves stale glow epoch/resources	release resources and zero capture epoch before forwarding reset	FALSIFIED	cross-trace
B3-055	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30HudScaleValue	HUD bounds	user scale can explode geometry	scale clamped 0.30..1.20	FALSIFIED	falsification
B3-056	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30HudAspectCompensation	runtime sizing	single invalid eye poisons average	each eye validated independently; invalid dimensions skipped	FALSIFIED	falsification
B3-057	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30HudAspectCompensation	startup fallback	missing runtime size collapses HUD aspect	falls back to finite FOV-derived aspect	FALSIFIED	cross-trace
B3-058	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30HudContainScale	HUD containment	wide desktop uses cover and pushes HUD off-eye	sourceOverTarget>=1 keeps X=userScale and reduces Y	FALSIFIED	falsification
B3-059	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ClassifyScreenSpacePass	classification	offscreen RT HUD gets eye affine	requires TargetIsBackBuffer	FALSIFIED	falsification
B3-060	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ClassifyScreenSpacePass	state-query overhead	perspective draw always queries three render states	queries occur only after projection classified Perspective3D	CONFIRMED	new coverage
B3-061	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30BuildEyeAffine	numeric safety	bad FOV can create extreme offsets	finite/width checks plus scale 0.5..1.5 and abs offset<=0.5	FALSIFIED	falsification
B3-062	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30PrepareXyzrhwState	shader safety	XYZRHW path runs with vertex shader bound	requires tracked identity zero and GetVertexShader null	FALSIFIED	falsification
B3-063	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30PrepareXyzrhwState	pose coherence	conversion can use different pose than frame	rejects poseSequence mismatch against FrameStereoPoseSequence	FALSIFIED	cross-trace
B3-064	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30XyzrhwHasProjectedDepthSignature	scan bound	depth signature scans unbounded vertices	sample loop capped at 512	FALSIFIED	falsification
B3-065	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30TransformXyzrhwVertices	scratch bandwidth	conversion accepts arbitrarily large draws	byte payload capped at 4MiB	FALSIFIED	falsification
B3-066	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30TransformXyzrhwVertices	behind-camera correctness	negative clip W mirrored into eye	requires clipEye.w > 1e-6	FALSIFIED	falsification
B3-067	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30TransformXyzrhwVertices	depth preservation	out-of-range reprojected Z rejects whole draw	preserves original screen Z and increments fallback counter	FALSIFIED	cross-trace
B3-068	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30TransformXyzrhwVertices	atomicity	one bad vertex leaves partially transformed output	on full reprojection failure copies original source back before fallback	FALSIFIED	falsification
B3-069	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30PrimitiveElementCount	overflow boundary	primitive count multiplication is overflow-checked	uses UINT arithmetic without explicit overflow guard	NEEDS_REVIEW	new coverage
B3-070	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30MaybeLogTelemetry	counter observability	shadow/glow regressions are invisible	5s log includes shadow hits/misses/discards and glow frames/failures	FALSIFIED	cross-trace
B3-071	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29ArmMonoSafety	recovery window	hazard fallback only affects current draw	arms mono safety through PresentEpoch+2	FALSIFIED	cross-trace
B3-072	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29SyncEffectState	getter overhead	five GetRenderState calls happen every draw	cache reused within same Present for <64 draws	FALSIFIED	falsification
B3-073	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29SyncEffectState	state-block drift	cache never refreshes after setter-bypassing Apply	periodic 64-draw/live-present refresh bounds staleness	FALSIFIED	falsification
B3-074	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29FragileEffectCached	effect policy	classification ignores cull mode	passes cullMode==NONE into effect policy	FALSIFIED	falsification
B3-075	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29StableStereoBase	target ownership	auxiliary render targets enter two-eye fast path	requires main backbuffer and rejects AnyAuxRenderTargetActive	FALSIFIED	falsification
B3-076	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29StableStereoBase	recovery	fast path can run during recovery pending	MayInjectStereo + RecoveryPending + warmup gates reject it	FALSIFIED	falsification
B3-077	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29StableStereoBase	depth hazard	missing mirrorable depth still fast-paths	rejects deferred/non-mirrorable depth	FALSIFIED	falsification
B3-078	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29StableStereoBase	query hazard	active occlusion query duplicated	rejects unavailable tracking or active queries>0	FALSIFIED	falsification
B3-079	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29DirectTwoEye	draw amplification	steady path renders mono+L+R	direct path marks mono gap and calls stereo R7 only	FALSIFIED	cross-trace
B3-080	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29DirectTwoEye	depth accounting	two-eye fast path omits depth serial accounting	increments main depth serial if left may write depth/stencil	FALSIFIED	cross-trace
B3-081	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29DirectTwoEye	zero-disparity state	shader identity not restored after effect draw	exchange to zero then compare-exchange restore	FALSIFIED	falsification
B3-082	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29DirectTwoEye	failure recovery	failed right eye does not arm fallback	FAILED/frame incomplete/failure reason arms mono safety	FALSIFIED	cross-trace
B3-083	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29GuardStableDraw	fallback ownership	unstable state drops draw	delegates to complete R13/R9 legacy path	FALSIFIED	falsification
B3-084	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29GuardStableDraw/R28 rebind	world stereo	verified shader epoch draw can lose disparity after shader switch	conditional R28 verified epoch rebind preserves two-eye path	FALSIFIED	cross-trace
B3-085	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29GuardStableDraw/R28 rebind	double draw	sentinel HRESULT can cause duplicate execution	boolean CanRebind path preserves actual draw HRESULT	FALSIFIED	falsification
B3-086	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29GuardStableDraw/semantic	HUD safety	semantic alone promotes draw to world	world corroboration still requires R27 proven WVP gate	FALSIFIED	falsification
B3-087	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29GuardStableDraw/fragile retry	smoke/skid correctness	all alpha depth-disabled draws forced zero disparity	R27 verified WVP can clear fragile flag	FALSIFIED	cross-trace
B3-088	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	DrawPrimitiveDestR29	dispatch	nonindexed draws bypass stable guard	routes through R29GuardStableDraw	FALSIFIED	falsification
B3-089	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	DrawIndexedPrimitiveDestR29	dispatch	indexed draws bypass stable guard	routes through R29GuardStableDraw	FALSIFIED	falsification
B3-090	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	DrawPrimitiveUPDestR29	dispatch	UP draws cannot use two-eye policy	same guard wraps R9 stereo and R27 legacy callbacks	FALSIFIED	cross-trace
B3-091	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29StableStereoBase	mono-gap safety	fast path can resume immediately after hazard	PresentEpoch <= armed threshold remains legacy	FALSIFIED	falsification
B3-092	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29DirectTwoEye	tracked-depth absence	missing tracked depth reuses stale right depth	temporarily nulls RightEyeDepth when no TrackedDepthStencil	FALSIFIED	falsification
B3-093	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29DirectTwoEye	telemetry	stable/zero-disparity usage unobservable	separate stable and zero-disparity counters increment	FALSIFIED	new coverage
B3-094	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29SyncEffectState	failure mode	GetRenderState failure uses stale cache	sets valid=false and returns false, causing legacy fallback	FALSIFIED	falsification
B3-095	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r29.cpp@unknown	src/vr/d3d9/stereo_renderer_r29.cpp	R29GuardStableDraw	user visual regression	white rank glyphs necessarily flattened as fragile	verified WVP retry allows alpha/depth-disabled world glyphs spatial stereo	FALSIFIED	cross-trace
B3-096	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	ReleasePending	session cleanup	pending queries leak across session	releases every fence and clears ACK arrays/generation	FALSIFIED	falsification
B3-097	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	ObserveGeneration	generation transition	new generation reuses old ACK identity	clears AckedFrame/AckedGeneration on generation change	FALSIFIED	cross-trace
B3-098	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	EnsureFence	allocation	invalid slot can allocate query	slot bounds and Device required	FALSIFIED	falsification
