unit	fresh	path	objective	category	cross	falsification	outside_delta	evidence	verdict	regression_key
B17-011	1	src/vr/hud_semantics.hpp@0x081B76	0x081B76 HUD_HEART_TOTAL cross-trace	visual	1	0	1	Trace exact anchor 0x081B76 (HUD_HEART_TOTAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-012	1	src/vr/hud_semantics.hpp@0x081B76	0x081B76 HUD_HEART_TOTAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x081B76: nearby mixed HUD/world ranges must not cause this HUD_HEART_TOTAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-013	1	src/vr/hud_semantics.hpp@0x0B9096	0x0B9096 HUD_GEAR_REV ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B9096 (REV left adjustment #1) is declared HUD_GEAR_REV/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-014	1	src/vr/hud_semantics.hpp@0x0B9096	0x0B9096 HUD_GEAR_REV cross-trace	visual	1	0	1	Trace exact anchor 0x0B9096 (HUD_GEAR_REV) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-015	1	src/vr/hud_semantics.hpp@0x0B9096	0x0B9096 HUD_GEAR_REV boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B9096: nearby mixed HUD/world ranges must not cause this HUD_GEAR_REV site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-016	1	src/vr/hud_semantics.hpp@0x0B90B3	0x0B90B3 HUD_GEAR_REV ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B90B3 (REV left adjustment #2) is declared HUD_GEAR_REV/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-017	1	src/vr/hud_semantics.hpp@0x0B90B3	0x0B90B3 HUD_GEAR_REV cross-trace	visual	1	0	1	Trace exact anchor 0x0B90B3 (HUD_GEAR_REV) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-018	1	src/vr/hud_semantics.hpp@0x0B90B3	0x0B90B3 HUD_GEAR_REV boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B90B3: nearby mixed HUD/world ranges must not cause this HUD_GEAR_REV site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-019	1	src/vr/hud_semantics.hpp@0x0B90F6	0x0B90F6 HUD_GEAR_REV ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B90F6 (REV left adjustment #3) is declared HUD_GEAR_REV/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-020	1	src/vr/hud_semantics.hpp@0x0B90F6	0x0B90F6 HUD_GEAR_REV cross-trace	visual	1	0	1	Trace exact anchor 0x0B90F6 (HUD_GEAR_REV) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-021	1	src/vr/hud_semantics.hpp@0x0B90F6	0x0B90F6 HUD_GEAR_REV boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B90F6: nearby mixed HUD/world ranges must not cause this HUD_GEAR_REV site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-022	1	src/vr/hud_semantics.hpp@0x0B9F3A	0x0B9F3A HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B9F3A (DispRank adjustment #1) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-023	1	src/vr/hud_semantics.hpp@0x0B9F3A	0x0B9F3A HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0B9F3A (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-024	1	src/vr/hud_semantics.hpp@0x0B9F3A	0x0B9F3A HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B9F3A: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-025	1	src/vr/hud_semantics.hpp@0x0B9F5E	0x0B9F5E HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B9F5E (DispRank adjustment #2) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-026	1	src/vr/hud_semantics.hpp@0x0B9F5E	0x0B9F5E HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0B9F5E (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-027	1	src/vr/hud_semantics.hpp@0x0B9F5E	0x0B9F5E HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B9F5E: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-028	1	src/vr/hud_semantics.hpp@0x0B9F81	0x0B9F81 HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B9F81 (DispRank adjustment #3) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-029	1	src/vr/hud_semantics.hpp@0x0B9F81	0x0B9F81 HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0B9F81 (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-030	1	src/vr/hud_semantics.hpp@0x0B9F81	0x0B9F81 HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B9F81: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-031	1	src/vr/hud_semantics.hpp@0x0B9FD0	0x0B9FD0 HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B9FD0 (DispRank adjustment #4) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-032	1	src/vr/hud_semantics.hpp@0x0B9FD0	0x0B9FD0 HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0B9FD0 (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-033	1	src/vr/hud_semantics.hpp@0x0B9FD0	0x0B9FD0 HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B9FD0: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-034	1	src/vr/hud_semantics.hpp@0x0B9FFC	0x0B9FFC HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0B9FFC (DispRank adjustment #5) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-035	1	src/vr/hud_semantics.hpp@0x0B9FFC	0x0B9FFC HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0B9FFC (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-036	1	src/vr/hud_semantics.hpp@0x0B9FFC	0x0B9FFC HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0B9FFC: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-037	1	src/vr/hud_semantics.hpp@0x0BA01E	0x0BA01E HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BA01E (DispRank adjustment #6) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-038	1	src/vr/hud_semantics.hpp@0x0BA01E	0x0BA01E HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0BA01E (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-039	1	src/vr/hud_semantics.hpp@0x0BA01E	0x0BA01E HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BA01E: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-040	1	src/vr/hud_semantics.hpp@0x0BA035	0x0BA035 HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BA035 (DispRank adjustment #7) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-041	1	src/vr/hud_semantics.hpp@0x0BA035	0x0BA035 HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0BA035 (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-042	1	src/vr/hud_semantics.hpp@0x0BA035	0x0BA035 HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BA035: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-043	1	src/vr/hud_semantics.hpp@0x0BA052	0x0BA052 HUD_RANK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BA052 (DispRank adjustment #8) is declared HUD_RANK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-044	1	src/vr/hud_semantics.hpp@0x0BA052	0x0BA052 HUD_RANK cross-trace	visual	1	0	1	Trace exact anchor 0x0BA052 (HUD_RANK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-045	1	src/vr/hud_semantics.hpp@0x0BA052	0x0BA052 HUD_RANK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BA052: nearby mixed HUD/world ranges must not cause this HUD_RANK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-046	1	src/vr/hud_semantics.hpp@0x0BB0FB	0x0BB0FB WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB0FB (rank marker sprani #1) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-047	1	src/vr/hud_semantics.hpp@0x0BB0FB	0x0BB0FB WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB0FB (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-048	1	src/vr/hud_semantics.hpp@0x0BB0FB	0x0BB0FB WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB0FB: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-049	1	src/vr/hud_semantics.hpp@0x0BB133	0x0BB133 WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB133 (rank marker sprani #2) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-050	1	src/vr/hud_semantics.hpp@0x0BB133	0x0BB133 WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB133 (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-051	1	src/vr/hud_semantics.hpp@0x0BB133	0x0BB133 WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB133: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-052	1	src/vr/hud_semantics.hpp@0x0BB16C	0x0BB16C WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB16C (rank marker sprani #3) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-053	1	src/vr/hud_semantics.hpp@0x0BB16C	0x0BB16C WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB16C (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-054	1	src/vr/hud_semantics.hpp@0x0BB16C	0x0BB16C WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB16C: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-055	1	src/vr/hud_semantics.hpp@0x0BB1A5	0x0BB1A5 WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB1A5 (rank marker sprani #4) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-056	1	src/vr/hud_semantics.hpp@0x0BB1A5	0x0BB1A5 WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB1A5 (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-057	1	src/vr/hud_semantics.hpp@0x0BB1A5	0x0BB1A5 WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB1A5: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-058	1	src/vr/hud_semantics.hpp@0x0BB21F	0x0BB21F WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB21F (rank marker clip #1) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-059	1	src/vr/hud_semantics.hpp@0x0BB21F	0x0BB21F WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB21F (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-060	1	src/vr/hud_semantics.hpp@0x0BB21F	0x0BB21F WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB21F: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-061	1	src/vr/hud_semantics.hpp@0x0BB241	0x0BB241 WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB241 (rank marker clip #2) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-062	1	src/vr/hud_semantics.hpp@0x0BB241	0x0BB241 WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB241 (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-063	1	src/vr/hud_semantics.hpp@0x0BB241	0x0BB241 WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB241: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-064	1	src/vr/hud_semantics.hpp@0x0BB271	0x0BB271 WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB271 (rank marker clip #3) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-065	1	src/vr/hud_semantics.hpp@0x0BB271	0x0BB271 WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB271 (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-066	1	src/vr/hud_semantics.hpp@0x0BB271	0x0BB271 WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB271: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-067	1	src/vr/hud_semantics.hpp@0x0BB2BC	0x0BB2BC WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB2BC (rank marker clip #4) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-068	1	src/vr/hud_semantics.hpp@0x0BB2BC	0x0BB2BC WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB2BC (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-069	1	src/vr/hud_semantics.hpp@0x0BB2BC	0x0BB2BC WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB2BC: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-070	1	src/vr/hud_semantics.hpp@0x0BB2D0	0x0BB2D0 WORLD_RIVAL_MARKER ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BB2D0 (rank marker clip #5) is declared WORLD_RIVAL_MARKER/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-071	1	src/vr/hud_semantics.hpp@0x0BB2D0	0x0BB2D0 WORLD_RIVAL_MARKER cross-trace	visual	1	0	1	Trace exact anchor 0x0BB2D0 (WORLD_RIVAL_MARKER) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-072	1	src/vr/hud_semantics.hpp@0x0BB2D0	0x0BB2D0 WORLD_RIVAL_MARKER boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BB2D0: nearby mixed HUD/world ranges must not cause this WORLD_RIVAL_MARKER site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-073	1	src/vr/hud_semantics.hpp@0x0BD32E	0x0BD32E HUD_SLIPSTREAM ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BD32E (test your slipstream) is declared HUD_SLIPSTREAM/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-074	1	src/vr/hud_semantics.hpp@0x0BD32E	0x0BD32E HUD_SLIPSTREAM cross-trace	visual	1	0	1	Trace exact anchor 0x0BD32E (HUD_SLIPSTREAM) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-075	1	src/vr/hud_semantics.hpp@0x0BD32E	0x0BD32E HUD_SLIPSTREAM boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BD32E: nearby mixed HUD/world ranges must not cause this HUD_SLIPSTREAM site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-076	1	src/vr/hud_semantics.hpp@0x0BD397	0x0BD397 HUD_GF_WARNING ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BD397 (don't lose girlfriend #1) is declared HUD_GF_WARNING/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-077	1	src/vr/hud_semantics.hpp@0x0BD397	0x0BD397 HUD_GF_WARNING cross-trace	visual	1	0	1	Trace exact anchor 0x0BD397 (HUD_GF_WARNING) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-078	1	src/vr/hud_semantics.hpp@0x0BD397	0x0BD397 HUD_GF_WARNING boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BD397: nearby mixed HUD/world ranges must not cause this HUD_GF_WARNING site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-079	1	src/vr/hud_semantics.hpp@0x0BD414	0x0BD414 HUD_GF_WARNING ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BD414 (don't lose girlfriend #2) is declared HUD_GF_WARNING/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-080	1	src/vr/hud_semantics.hpp@0x0BD414	0x0BD414 HUD_GF_WARNING cross-trace	visual	1	0	1	Trace exact anchor 0x0BD414 (HUD_GF_WARNING) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-081	1	src/vr/hud_semantics.hpp@0x0BD414	0x0BD414 HUD_GF_WARNING boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BD414: nearby mixed HUD/world ranges must not cause this HUD_GF_WARNING site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-082	1	src/vr/hud_semantics.hpp@0x0BD472	0x0BD472 HUD_GF_WARNING ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BD472 (don't lose girlfriend #3) is declared HUD_GF_WARNING/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-083	1	src/vr/hud_semantics.hpp@0x0BD472	0x0BD472 HUD_GF_WARNING cross-trace	visual	1	0	1	Trace exact anchor 0x0BD472 (HUD_GF_WARNING) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-084	1	src/vr/hud_semantics.hpp@0x0BD472	0x0BD472 HUD_GF_WARNING boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BD472: nearby mixed HUD/world ranges must not cause this HUD_GF_WARNING site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-085	1	src/vr/hud_semantics.hpp@0x0BDAE8	0x0BDAE8 HUD_GHOST ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BDAE8 (Ghost/You/Diff sub adjustment) is declared HUD_GHOST/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
