unit	fresh	category	path	objective	evidence	verdict
B22-099	1	path	r32:R32InvalidateResetCaches	pending fence reset	R32ClearPendingProducerFences called during reset invalidation	PASS
B22-100	1	path	r32:R32InvalidateResetCaches	copy rejection reset	R32DirectCopyPathRejected cleared on reset/revalidation	PASS
B22-101	1	cross	r32:ResetDestR32	pre-reset fence clear	game device clears pending producer fences before R22 reset	PASS
B22-102	1	adversarial	r32:ResetDestR32	reset failure	failed reset invalidates caches and increments reset failure counter	PASS
B22-103	1	cross	r32:ResetDestR32	reset success	success calls R32ResetAfterGameReset only after underlying R22 reset	PASS
B22-104	1	cross	r13:R13ResetCommonPre	published state reset	ReleaseStereoResources clears direct transport slots	PASS
B22-105	1	path	r13:R13ResetCommonPre	stereo metadata reset	PublishStereoState disabled and PublishRenderFrame disabled on reset	PASS
B22-106	1	cross	r7:ReleaseStereoResources	slot COM lifetime	all fences/surfaces/textures released and slot zeroed	PASS
B22-107	1	path	r7:ReleaseStereoResources	interop probe lifetime	probe query/surface/texture released and handles/tokens cleared	PASS
B22-108	1	cross	r7:ReleaseStereoResources	shared probe identity	shared client interop handle/token zeroed when schema valid	PASS
B22-109	1	path	r7:ReleaseStereoResources	transport format reset	DirectTransportFormat reset to unknown	PASS
B22-110	1	path	r7:ReleaseStereoResources	projection cache reset	ProjectionInverseValid cleared with resource release	PASS
B22-111	1	performance	r7:DirectTransportTargetSize	stable eye-size fallback	unstable seqlock read retains active direct size rather than desktop size	PASS
B22-112	1	cross	r7:DirectTransportTargetSize	recommended eye seqlock	width/height read only from stable SharedState sequence	PASS
B22-113	1	adversarial	r7:DirectTransportTargetSize	zero recommendation	zero recommended size does not replace stable fallback	PASS
B22-114	1	cross	r7:EnsureDirectInteropProbe	adapter identity	game D3D9Ex adapter LUID must match host D3D11/OpenXR LUID	PASS
B22-115	1	adversarial	r7:EnsureDirectInteropProbe	adapter mismatch	mismatch forces SBS fallback instead of direct transport	PASS
B22-116	1	cross	r7:EnsureDirectInteropProbe	probe ACK identity	DirectInteropVerified only after host ack token matches client probe token	PASS
B22-117	1	performance	r7:EnsureDirectInteropProbe	probe fence budget	interop probe EVENT wait bounded to 50 ms during setup	PASS
B22-118	1	adversarial	r7:EnsureDirectInteropProbe	probe failure cleanup	failed probe releases query/surface/texture and rejects direct path	PASS
B22-119	1	cross	r7:HostRenderEligible	visibility gate	game stereo source gated by host alive+session visible, not transient shouldRender	PASS
B22-120	1	performance	r7:HostRenderEligible	shouldRender decoupling	transient compositor advice cannot tear down source metadata	PASS
B22-121	1	cross	r7:GameplayActive	in-game state reuse	game established is_in_game state controls gameplay presentation	PASS
B22-122	1	cross	r7:GameplayActive	warp/restart continuity	WARP/RESTART preserve gameplay presentation	PASS
B22-123	1	adversarial	r7:GameplayActive	menu fallback	other non-game states remain theater/fallback	PASS
B22-124	1	cross	r7:PresentDest	BeginScene pacing	multiple BeginScene per Present tracked only during gameplay	PASS
B22-125	1	performance	r7:MaybeLogSummary	telemetry gate	5-second summary disabled unless VRTelemetry enabled	PASS
B22-126	1	performance	r7:MaybeLogSummary	identity diagnostics	game/host/run identity logged for comparison without per-frame spam	PASS
B22-127	1	cross	r7:PresentDest	presentation QPC	presentStart QPC captured immediately before Present boundary	PASS
B22-128	1	cross	r7:PublishRenderFrame	present QPC propagation	post-Present frame publication carries pre-Present timestamp identity	PASS
B22-129	1	adversarial	r7:PresentDest	compose failure	SBS compose failure poisons frame and prevents active stereo publish	PASS
B22-130	1	cross	r7:PresentDest	direct-only hold eligibility	previous metadata preserved only when stereo frame eligible and Present succeeds	PASS
B22-131	1	adversarial	r7:PresentDest	hold on Present failure	failed Present bypasses preservation and publishes failure fallback	PASS
B22-132	1	cross	r32:bridge	R32 to R7 publication contract	new bridge makes R32-produced slot satisfy exact base post-Present identity checks	PASS
B22-133	1	adversarial	r32:bridge	partial bridge hypothesis	without pendingFrameId base readiness would fail; integrated code sets it	PASS
B22-134	1	adversarial	r32:bridge	premature published hypothesis	integrated code explicitly sets published=false before Present	PASS
B22-135	1	adversarial	r32:bridge	stale active slot hypothesis	ActiveDirectTransportSlot assigned after slot identity fields	PASS
B22-136	1	cross	r32:bridge	consumer ACK continuity	slot.frameId remains exact producer frame for later per-slot ACK	PASS
B22-137	1	performance	r32:bridge	wait layering	R32 producer wait plus base 1ms post-Present wait is bounded but warrants runtime pacing observation	NEED_HMD_TEST
B22-138	1	performance	r32:bridge	no extra CPU copy	bridge changes metadata only; eye copies remain StretchRect GPU path	PASS
B22-139	1	cross	r32:bridge	no handle publication before Present	PublishRenderFrame direct handles only after base readiness returns true	PASS
B22-140	1	adversarial	r32:bridge	Present failure after resolved copy	failed Present prevents slot published transition; slot remains unpublished/pending for later reclaim	PASS
B22-141	1	cross	regression:VR-STARTUP-WHITE-001	startup risk path match	stereo_renderer_r32/r7 changes touch stereo transport/present risk paths; registry case remains open	NEED_HMD_TEST
B22-142	1	adversarial	regression:VR-STARTUP-WHITE-001	static evidence limit	build/static review cannot close runtime white-screen case	NEED_HMD_TEST
B22-143	1	cross	regression:VR-STARTUP-WHITE-001	deferred resource invariant	InstallStereoHooks still defers private resource creation beyond CreateDevice exposure	PASS
B22-144	1	adversarial	regression:VR-STARTUP-WHITE-001	pre-exposure allocation recurrence	no new R32 bridge code is on CreateDevice pre-exposure path	PASS
B22-145	1	cross	policy:TargetRefreshRateHz	refresh policy	R32 bridge introduces no hardcoded refresh rate and does not alter runtime-selected policy	PASS
B22-146	1	cross	policy:SkyGlowFactor	visual config policy	R32 publication bridge does not alter SkyGlow config; existing config finding remains separate	PASS
B22-147	1	path	candidate/integration identity	merged tree review	integration 4ff3a3f contains R32 bridge commit merged after c4dd697	PASS
B22-148	1	adversarial	candidate/integration identity	base mismatch check	review evidence tied to exact integrated SHA 4ff3a3f, not prior c4dd697 tree	PASS
B22-149	1	cross	C-handoff	new actionable defect search	no new bounded rendering/performance defect found in R32 publication bridge; no duplicate READY_FOR_C created	PASS
B22-150	1	verification	CP150	completion assertion	150 physical rows; fresh=150; carry=0; cross/adversarial/performance/path diversity present	COMPLETE
